ASC,Trial ID,Color,Sex,FA-S1,FA-S2,FA-S3,PU-S1,PU-S2,PU-S3,AE-S1,AE-S2,AE-S3,RW-S1,RW-S2,RW-S3,FA,PU,AE,RW,UES
Non-ASC,1,Red,Male,4,3,4,1,4,2,5,4,5,5,5,5,3.6666666666666665,3.6666666666666665,4.666666666666667,5.0,4.25
Non-ASC,1,Blue,Male,1,5,4,2,3,1,4,4,4,5,3,5,3.3333333333333335,4.0,4.0,4.333333333333333,3.916666666666667
Non-ASC,2,Red,Male,1,2,5,1,1,1,5,5,3,5,4,5,2.6666666666666665,5.0,4.333333333333333,4.666666666666667,4.166666666666667
Non-ASC,2,Blue,Male,4,5,3,1,1,1,5,5,3,5,5,5,4.0,5.0,4.333333333333333,5.0,4.583333333333333
Non-ASC,3,Red,Male,3,5,5,2,4,3,3,3,3,4,4,4,4.333333333333333,3.0,3.0,4.0,3.583333333333333
Non-ASC,3,Blue,Male,5,5,4,1,4,1,4,5,4,5,4,5,4.666666666666667,4.0,4.333333333333333,4.666666666666667,4.416666666666667
Non-ASC,4,Red,Male,1,3,5,1,1,1,4,5,4,5,1,4,3.0,5.0,4.333333333333333,3.3333333333333335,3.9166666666666665
Non-ASC,4,Blue,Male,3,5,4,4,4,2,5,4,3,4,4,3,4.0,2.6666666666666665,4.0,3.6666666666666665,3.583333333333333
Non-ASC,6,Blue,Male,4,3,5,5,2,1,5,4,5,5,4,5,4.0,3.3333333333333335,4.666666666666667,4.666666666666667,4.166666666666667
Non-ASC,6,Red,Female,1,3,4,2,2,2,4,4,4,5,3,4,2.6666666666666665,4.0,4.0,4.0,3.6666666666666665
Non-ASC,7,Red,Female,1,4,5,2,1,3,5,3,4,5,5,5,3.3333333333333335,4.0,4.0,5.0,4.083333333333334
Non-ASC,7,Blue,Female,2,5,4,1,4,2,5,5,3,5,3,5,3.6666666666666665,3.6666666666666665,4.333333333333333,4.333333333333333,4.0
Non-ASC,8,Red,Female,5,5,5,1,2,3,5,5,5,5,5,5,5.0,4.0,5.0,5.0,4.75
Non-ASC,8,Blue,Male,2,3,3,3,2,3,5,3,5,5,3,5,2.6666666666666665,3.3333333333333335,4.333333333333333,4.333333333333333,3.666666666666666
Non-ASC,10,Red,Male,3,5,3,4,3,2,4,4,5,5,5,5,3.6666666666666665,3.0,4.333333333333333,5.0,4.0
Non-ASC,10,Blue,Female,1,5,5,1,3,5,4,5,5,5,5,5,3.6666666666666665,3.0,4.666666666666667,5.0,4.083333333333333
Non-ASC,11,Red,Female,3,5,5,5,2,1,3,4,5,4,5,5,4.333333333333333,3.3333333333333335,4.0,4.666666666666667,4.083333333333333
Non-ASC,11,Blue,Male,2,4,5,1,1,2,5,5,4,3,5,4,3.6666666666666665,4.666666666666667,4.666666666666667,4.0,4.25
